Отметка времени,Ваш возраст?,Где Вы проживаете?,Хватает ли Вам мест общего пользования для свободного времяпровождения? (если вы проживаете в Кировском районе),"Знаете ли Вы о существовании Ушаковских бань ""Гигант"" (улица Зои Космодемьянской, 7А)?","Если знаете, как бы Вы описали его нынешнее состояние и роль в районе?","Что, на Ваш взгляд, является главной проблемой этого здания сейчас?","Как Вы считаете, нужно ли находить новое применение для этого здания?",Какие функции на Ваш взгляд наиболее востребованы? (выберите до 3-х вариантов),"Как часто Вы могли бы посещать обновленное пространство в Ушаковских банях, если бы там появились интересные вам функции?","На Ваш взгляд, является ли это здание частью исторической памяти Кировского района?",Какое решение вам кажется наиболее важным в будущем этого объекта?,Что могло бы стать для Вас решающим аргументом для посещения? 
,26-35,Кировский район,Скорее нет,"Слышал(а), но подробности не известны",Раньше был центр притяжения для людей. Многие собирались и в будни и выходные в парных. Сейчас центр притяжения для любителей стрит арта и маргиналов,"Ветхое состояние, жуткий вид","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр",Раз в неделю,"Да, важная часть","Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств, Создание новой яркой достопримечательности района","Высокое качество и комфорт пространства, Уникальная атмосфера и история места"
,18-25,Другой район Санкт-Петербурга,Нет,"Нет, не знаю",,,Скорее да,"Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр, Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе, Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор","Реже, чем раз в месяц",Затрудняюсь ответить,"Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств, Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали), Высокое качество и комфорт пространства, Возможность для самореализации (кружки, мастерские, волонтерство), Уникальная атмосфера и история места"
,36-45,Другой субъект РФ,,"Нет, не знаю",,,Мне все равно,"Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор",Вряд ли стал бы посещать,Затрудняюсь ответить,"Создание современных, удобных и функциональных пространств, Обеспечение доступности для всех социальных групп, Создание новой яркой достопримечательности района","Уникальная атмосфера и история места, хорошая транспортная доступность"
,18-25,Другой район Санкт-Петербурга,Скорее нет,"Слышал(а), но подробности не известны","Заброшенное здание, не эксплуатируется","Более 20 лет не используется, точка притяжения маргиналов","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр, Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе",1-2 раза в месяц,"Да, важная часть","Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств","Интересная программа мероприятий (концерты, лекции, фестивали), Уникальная атмосфера и история места"
,36-45,Кировский район,Скорее да,"Да, знаю (видел(а)/бывал(а)/интересовался)","Заброшен, не используется и разрушается
","хотят реставрировать, но могут испортить архитектуру или вообще снести, хотелось бы сохранить памятник конструктивизма","Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр, Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе, Молодежная политика: Молодежный клуб, пространство для репетиций, стартап-акселератор, Коммерция: Фуд-холл, магазины локальных брендов, офисные помещения, Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты",Раз в неделю,"Да, важная часть","Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств, Обеспечение доступности для всех социальных групп, Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали), Высокое качество и комфорт пространства, Возможность для самореализации (кружки, мастерские, волонтерство), Уникальная атмосфера и история места"
,26-35,Другой район Санкт-Петербурга,Скорее нет,"Нет, не знаю",,,Скорее да,"Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых",Раз в неделю,Затрудняюсь ответить,"Обеспечение доступности для всех социальных групп, Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали), Уникальная атмосфера и история места"
,45-60,Кировский район,Затрудняюсь ответить,"Слышал(а), но подробности не известны",,,Скорее да,"Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых",Вряд ли стал бы посещать,"Скорее да, но не ключевая","Сохранение исторического облика и памяти места, Создание новой яркой достопримечательности района","Интересная программа мероприятий (концерты, лекции, фестивали), Высокое качество и комфорт пространства, Уникальная атмосфера и история места"
,18-25,Другой район Санкт-Петербурга,Скорее да,"Нет, не знаю",,,Скорее да,"Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Спорт и здоровье: Спортивный зал/секции, фитнес, йога-центр","Реже, чем раз в месяц","Скорее да, но не ключевая","Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств, Обеспечение доступности для всех социальных групп","Интересная программа мероприятий (концерты, лекции, фестивали), Высокое качество и комфорт пространства, Возможность для самореализации (кружки, мастерские, волонтерство), Уникальная атмосфера и история места"
,26-35,Кировский район,Скорее нет,"Слышал(а), но подробности не известны",,,Скорее да,"Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе, Производство: Мастерские для ремесленников, швейные/плотницкие цеха, лофты",1-2 раза в месяц,"Скорее да, но не ключевая",Сохранение исторического облика и памяти места,Высокое качество и комфорт пространства
,18-25,Кировский район,Нет,"Слышал(а), но подробности не известны",,,"Да, обязательно","Культура и искусство: Концертный/лекционный зал, театр, кинотеатр, художественные галереи, Образование и развитие: Коворкинг, библиотека/медиатека, курсы и мастер-классы для взрослых, Досуг для семьи: Детский развивающий центр, игровые комнаты, семейное кафе",1-2 раза в месяц,"Скорее да, но не ключевая","Сохранение исторического облика и памяти места, Создание современных, удобных и функциональных пространств","Высокое качество и комфорт пространства, Уникальная атмосфера и история места"
